"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_25150",TRUE,"g__","f__","o__Ignavibacteriales","p__Bacteroidota","k__Bacteria"
"ASV_25219",TRUE,"g__","f__","o__IMCC26256","p__Actinobacteriota","k__Bacteria"
"ASV_25349",TRUE,"g__Armatimonas","f__Armatimonadaceae","o__Armatimonadales","p__Armatimonadota","k__Bacteria"
"ASV_25367",TRUE,"g__IMCC26207","f__Microtrichaceae","o__Microtrichales","p__Actinobacteriota","k__Bacteria"
"ASV_25379",TRUE,"g__","f__","o__M55-D21","p__Firmicutes","k__Bacteria"
"ASV_25635",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_25689",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_25767",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_25773",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_25801",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_25910",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_25965",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_26015",TRUE,"g__TM7a","f__Saccharimonadaceae","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_26038",TRUE,"g__TM7a","f__Saccharimonadaceae","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_26052",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_26194",TRUE,"g__","f__Neisseriaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26199",TRUE,"g__","f__Neisseriaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26223",TRUE,"g__Rhizobacter","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26227",TRUE,"g__Piscinibacter","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26258",TRUE,"g__","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26290",TRUE,"g__Limnohabitans","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26345",TRUE,"g__Achromobacter","f__Alcaligenaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26425",TRUE,"g__Undibacterium","f__Oxalobacteraceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_26674",TRUE,"g__","f__","o__Clostridia UCG-014","p__Firmicutes","k__Bacteria"
"ASV_26801",TRUE,"g__Corynebacterium","f__Corynebacteriaceae","o__Corynebacteriales","p__Actinobacteriota","k__Bacteria"
"ASV_26813",TRUE,"g__Rhodococcus","f__Nocardiaceae","o__Corynebacteriales","p__Actinobacteriota","k__Bacteria"
"ASV_26863",TRUE,"g__","f__","o__Frankiales","p__Actinobacteriota","k__Bacteria"
"ASV_26909",TRUE,"g__Candidatus Limnoluna","f__Microbacteriaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_26923",TRUE,"g__Rhodoluna","f__Microbacteriaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_26929",TRUE,"g__Candidatus Planktoluna","f__Microbacteriaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_26934",TRUE,"g__Candidatus Planktoluna","f__Microbacteriaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
